Part Number,Description,Cost per Unit,Notes,MECO Part Number,Manufacturer,Vendor,In Stock,Update,UL File Number,UL CCN,Related Panel Details,Related Job Parts Lists,Label
A36P24,,,,,Hoffman,American Electric,,4,E61997,NITW,tH4F2huc2_43eDX6RI4k52,,Hoffman A36P24
"T-FP61UL12 FAN,COOLING,140.00CFM","FAN,COOLING,140.00CFM,WITH INTAKE GRILLE & FILTER, 115VAC,60CY,UL TYPE 12 HOFFMAN #T-FP61UL12",$656.25 ,,2204684000,Hoffman,American Electric,,4,E61997,NITW2,"av4OTcXnAS4qAy61gVyvXe , k6mT09imEt4g2m9wANRo29 , 3ibdEte_ll42i0jyoTzEW4 , R1sWIF-sDG4Oac5iZ8KFJ9","YIg7AntNH847Mdi8f9ekq2 , BujTsKrHgS42MaFo6b9AD5 , dkJ5LIhc6Q4t2iyBNNpU9a","Hoffman T-FP61UL12 FAN,COOLING,140.00CFM"
A-483612LP,"ENCLOSURE,NEMA 12,48.000"" X 36.000"" X 12.000""               
HOFFMAN #A-483612LP",$902.00 ,,2202690000,Hoffman,American Electric,,4,E61997,NITW,"VrNr8ooe_z4F6EHyQAYFte , I2jSEqxkAQ4smMC1YUHpId , 0H43qBmwDj4nICv5A52aU6 , Vf8eUo_pX14u6qkHOjraC7","6at0e5UzfM4WQSVMvroBFc , 4krGF0qC874jQLczmV7391 , 1aZkqcN3jB4weWA-loy2f4 , W-LXbHl1iG4dE5vz3sJI7d",Hoffman A-483612LP
89134427R,"FILTER,REPLACEMENT,FOR HOFFMAN HF13 FILTER
FAN PACKAGE
HOFFMAN #89134427R (SOLD IN PK OF 6)",$24.00 ,,2205323002,Hoffman,American Electric,,4,E482010,FTTA,_5gzGsLfQz4UqIYGiZhx1d,"gQe4Z5s36t4ue3YKiOyI7f , wVMvVocZrF4F6mOM5yIzk8",Hoffman 89134427R
A-20P20,"PANEL,ENCL, 17.000""",,"PANEL,ENCLOSURE,17.000"" X 17.000""                           
HOFFMAN #A-20P20",2201306000,Hoffman,American Electric,,,,,_tHZyINYD246qOPlt4w2e6,asccAKXiPk4OmumV4rA535,Hoffman A-20P20
A-S150SS,"SEAL,HOLE,01.500""CONDUIT,STAINLESS STEEL
HOFFMAN #A-S150SS",$45.00 ,,2809729000,Hoffman,American Electric,,4,E61997,NITW2,"Bi11kmG_eB4ymovZ4G8yW0 , 83xUU85aAE4c2H90kz4rSb , dqoPwPZuKX4HYcWX-aUHKa","Xsch7Z_sml4uy9z7sqrZ37 , gM_whi1QsC4fmWtrLpN_B0",Hoffman A-S150SS
A-48P36,"PANEL,ENCLOSURE,45.000"" X 33.000""                           
HOFFMAN #A-48P36",$191.00 ,,2200664000,Hoffman,American Electric,,4,E61997,NITW,"S83T4n7FbD4F2zL1tq-P45 , 7KIeENRC194zmhyVcqneWf , luawt7Sk7p4aACTWs3WLyd , wCI1E0g7Pn4niZMWiuoXfb","GavetgeklF4hq2rBjmgOP5 , N0WoUb4Kha4si-vJsrX463 , 8DZbdK23FX4TQXvMauXoz9 , FNz6640Rnw4saw2X1EiTU9",Hoffman A-48P36
A-42P30,"PANEL,ENCLOSURE,39.000"" X 27.000""
HOFFMAN #A-42P30",$145.00 ,,2200873000,Hoffman,American Electric,,4,E61997,NITW,"l9XOcaOPSE45uQFseLO2N2 , 52n2aAGANy4nm9Sk6jNWpe","9DAOPotdu94kmG6Vg6NKWc , pNAZT0xP0U4-65e1mRLmBa",Hoffman A-42P30
A-423010LP OR ELECTROMATE,"ENCLOSURE,NEMA 12,42.000"" X 30.000"" X 10.000""
HOFFMAN #A-423010LP OR ELECTROMATE #E-423010",$728.00 ,,2201181000,Hoffman,American Electric,,4,E61997,NITW,"-QA8jWdRve462XyV0L0Po8 , 6eDkvKUgIj4NQOT5dXEVs0","TnrsqdO8wT4XaII1SH2LE8 , yksA5rGWUc4mmc2qUWlNC1",Hoffman A-423010LP OR ELECTROMATE
A-302410LP,"ENCLOSURE, NEMA 12",,"ENCLOSURE,NEMA 12,30.000"" X 24.000"" X 10.000""               
HOFFMAN #A-302410LP",2202768000,Hoffman,American Electric,,,,,kNV4ykDNYo42MnHLsnIRZ6,6mwXSYT1P14820D0-54DZ6,Hoffman A-302410LP
A-202008LP,"ENCLOSURE, NEMA 12",,"ENCLOSURE,NEMA 12,20.000"" X 20.000"" X 08.000""               
HOFFMAN #A-202008LP",2201591000,Hoffman,American Electric,,,,,ewFo8txcwk4dydV85LqzKb,h4wP5luZbv4JQ3m2eCq2F6,Hoffman A-202008LP
HF1316414 (OLD,"FAN,FILTER PACKAGE HF-13,395CFM,TYPE12/IP54
115VAC/60CY/2600-3000RPM,.76/.88 AMPS,
HOFFMAN #HF1316414

(OLD #SF1316414)",$347.00 ,,2204546000,Hoffman,American Electric,,4,E482010,FTTA,IM8vYZgBuc4PmM8i5Aib55,"2Gh2jWehEv4LY3u3Vl7758 , fBpyZ0wMXW4yUYVZGr9781",Hoffman HF1316414 (OLD
A36H2408SSLP3PT,,,,,Hoffman,American Electric,,4,E61997,NITW,ORHXF9CyZV4UYuhAtYpfie,,Hoffman A36H2408SSLP3PT
A-NMV6 OR VYNCKIER,"VENT,ENCLOSURE
HOFFMAN #A-NMV6 OR VYNCKIER #10000010",$22.00 ,,2202836000,Hoffman,American Electric,,4,E61997,NITW2,"LnuS3ziLFR4JAXaHAh73B0 , YXXdApK9OM44Yh2Zyx3v27 , b14Kbb1v484oQ1XmSesDB8","ayzhrJcCYB4quR9cyX-aB5 , 6pzywqEY754oe_UuiO0Sh1 , QKf49EXKyd46iNbqA8dfY8",Hoffman A-NMV6 OR VYNCKIER
T-EP6UL12,"GRILLE,EXHAUST,WITH FILTER,UL TYPE 12
HOFFMAN #T-EP6UL12",$183.00 ,,2204685000,Hoffman,American Electric,,4,E61997,NITW2,"IBFAb6UJM54mUNAcT2c8r6 , _m6Tbs12hh4F2oYeVFOb40 , i7LN31_BVQ49i2rETTJJKf , sg6FL6jP1L4BYlmXwNoZu9","46jSqJPMLc4CEGCYgXMDZb , kv1y3l93Z-4zeh1D6UjxO9 , 2gt-pee-nW4QY6zHybm_91",Hoffman T-EP6UL12
"00.750""CONDUIT, STAINLESS STEEL","SEAL,HOLE,00.750""CONDUIT,STAINLESS STEEL HOFFMAN #A-S075SS",$26.00 ,,2808283000,Hoffman,American Electric,,4,E61997,NITW2,"toBVZHcMnp4ZAHmm4TF-Wc , PRxlox3z9O45a7e3_3RoR4 , kIGea3ohdg4BMXU7CeNIKb","R6RZBTvaa54WYW_6UAwFbc , VaUl0tp_yz4mYkPbMRt-Qf , Ejm-mkyGmh4buAKhkNumD5 , mTMh30DBgl4XyDblJpTXz5","Hoffman 00.750""CONDUIT, STAINLESS STEEL"
A-363010LP,"ENCLOSURE,NEMA 12,36.000"" X 30.000"" X 10.000""               
HOFFMAN #A-363010LP",$646.00 ,,2202742000,Hoffman,American Electric,,4,E61997,NITW,"c-Xos-JggA4oIvxKkySA7b , 1i0sOH-BoL44yNLC6Y0HW3","lMEEaT1YhT4Om9jJs2vqg4 , hwF_zFwSzh4Nmp6iWvM8S7 , 5c1QqPnCXL4cQRZOtKeOwe",Hoffman A-363010LP
A-36P30,"PANEL,ENCLOSURE,33.000"" X 27.000""                           
HOFFMAN #A-36P30",$127.00 ,,2200442000,Hoffman,American Electric,,4,E61997,NITW,"2n2PizLenZ4Sa_jvXPpi-9 , ROYBoP7lPU4sIeb3GFPgi5","_c7a7uneMJ4bINyVuzFHDd , E6vnXfTRHb4EM5feL1wPY7 , 8KsZnqiAEv4LQzZVAwHVv2",Hoffman A-36P30
ALFSWD,"LED, LIGHT KIT, REMOTE DOOR SWITCH,
ALLEN-BRADLEY # ALFSWD",$61.84 ,,2700443000,Hoffman,American Electric,,,E61997,NITW2,"K9e5ESk71s4B2mlj1zFz74 , WAhFprPNgL4KQ3OaD8o1Gd , ddPuCp7lDZ4S2inTrpwYJ6 , qM0_7m1nK741YxX9lSj472 , TR9PPrNser4VQNCyGyEEH5","9Y-z6FHKsw4KMsUjwcdC16 , GqUlMwg8HU4wiLaaWeIgHe , teNRxJADpO4tA4lUV-DcD0 , IPX5IpscFp4ratUb7LZZR5 , pdVfG0ie7740aobGuRcyoc , ncKoQz3wxF4nmrZhqN2LF6",Hoffman ALFSWD
5069-RTB64-SCREW,"5069 COMPACT I/O POWER TERMINAL RTB KIT
FOR BOTH 4 AND 6 PIN SCREW TYPE
ALLEN-BRADLEY #5069-RTB64-SCREW",$38.09 ,,2853161001,Allen-Bradley,Rensenhouse,,,E195367,XCFR2,"p-95dSbbP14FuSnaZuPK81 , 7pH8OPGhdP4K2t6OKlNtxd , BXsuqxKizs4DYEmbJz-h_2 , 7lQrjwP94_4aqqESZ2ksi7 , zr1339eF9040I_4X4lUtU7","pHy5LrbfU24iQ9OCJx7rL8 , foMWtKA4rV4hqkHiiUBm-f , 3L21d0K1E94JaasvZJIxn6 , cni273gCQI402mKcr9blq6 , -3vfMjBWVC4zurYSo0S5i2 , eImcPRBQ634_EcGi5voOR5",Allen-Bradley 5069-RTB64-SCREW
5069-L306ER,"MODULE,PRCESSR,0.6 MBYTES",,"MODULE,PROCESSOR,0.6 MBYTES,ALLEN-BRADLEY COMPACT LOGIX
5380 SERIES CONTROLLER,(2)ETHERNET/DUAL-IP PORTS & (1)USB
PORT,1.0 GB SD CARD,UPTO 8 I/O EXPANSION
ALLEN-BRADLEY #5069-L306ER",2853162000,Allen-Bradley,Rensenhouse,,,,,G9JKlVcY4p4XYyktTq6h6f,6ztrPiZ03W4se7m41h-v36,Allen-Bradley 5069-L306ER
1492-J6,"BLOCK,TERMINAL,600V,#22-10AWG, COMPRESSION CLAMP,GRAY BODY ALLEN-BRADLEY #1492-J6",$2.12 ,,2807797000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"3LeCruLZvD4cY2mIuBVT03 , tQxf2aEn7A46i7WvhKcAT3 , fo1Xd9mjMj4netO3XvCy_e , QJtUXrCpZT4zQPIfvm4E91 , 14tcAw2Kz844A2oc-ucF5e , pNOHTdwR4i45mBIwS20CNa","j3Yx-lYef14pEWHsm2tbk8 , e4_jZxfVUE4ji3LadhfUo8 , HW9btA8Bfs4TeQ1tGgmPjf , FSfvn0nV5C47YVbfsMyIo4 , dJyEzKNwV04iQLyNhbxCg6 , p1-_IcjwZF4tydr6TEB4z7",Allen-Bradley 1492-J6
"STOP, END, (ANCHOR)TERMINAL BLOCK","STOP,END,(ANCHOR)TERMINAL BLOCK ALLEN-BRADLEY #1492-EAJ35",$2.64 ,,2807508000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"cennLjuAUw4VuYxY_Rvmq1 , utrGOYmmeu43igH5EH4R6f , MD6SigQ9WV4TyJTT4yf1r3 , 1wBG9VcqgL4r6ku4mjBm1c , 5Wk7U_j4Wg4kI7aNxfqYy5 , ux5vphTwO44NYR3sXil2ma , TyE00DLp-K47MrZOAwZJh4 , 2igENGHIrl4GiSiUErXWr1 , PtKh6sT-cM4CYsTaF_KgE7 , EDEmyKO3QN4ravYz5UH8x8 , wnoDUGaRMk4iQx6ybx6x78","E2A_kx8QoX4YMPZpSavQHe , 2w8CXI31CM4sqK4El-mAa0 , QpLtnk8gr340iW4ezWNFoa , G9op9KX3-J4eIPwAAsUXn0 , iPUBHVmlBG4gq_gMh_4ytb , jHPjVHZWC44tAx7Hm0kfd1 , H8kLOgTvLD4a2XkLcVwOGa , kyIMa5si4z4lABlm_Buyt6 , S5QJT92shT4Kuq6hgsHT5c , z5jwIBYLMY4yyFYEWPu4E8 , OG5-lhmJL74MAhnkC5kOYd , wzYyxJpwdQ4zE3I7sfQpm4","Allen-Bradley STOP, END, (ANCHOR)TERMINAL BLOCK"
5069-RTB6-SCREW,"5069 COMPACT I/O 6 PINS SCREW TYPE TERMINAL BLOCK KIT
ALLEN-BRADLEY #5069-RTB6-SCREW",$23.09 ,,2853171001,Allen-Bradley,Rensenhouse,,,E195367,XCFR2,"510QdlRVa-4wQw93xE7oN0 , o9JhC1cnFz4a6T4C9cjYO0 , PTiSIZXTOY4TU8QZbut6i2 , wvJnOyt50z4Ku2kmJjAkje , 4WyaFMuird4gqW75DPQbod","7_B95nLmcS44yEoghLJYA2 , O0oo540Vl244y1g4JRVQh9 , nGf5H-FF7-4Wm2-BR4ba1f , VaAw-J4GbD4fu4loVBZkT5 , -hKyRRoBSS4NySfYSq58bc , anb8kEQHpg4fyKiak2tFc9",Allen-Bradley 5069-RTB6-SCREW
1492-PD3163,"BLOCK,TERMINAL,(3P)400-#6 LINE CONN & (6)#2-14 LOAD CONN     ALLEN-BRADLEY #1492-PD3163",$120.07 ,,2808143000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"g4yVvMXj5Y4R2hVEUprOY5 , ESjXgOruFt4rQfzYcpag19 , hApHxVWnt14juH-kLxuDId","O3tiKUWns04kI_GX4-0Ui6 , tyw2v4d2wL4pE1HJjw_ou9",Allen-Bradley 1492-PD3163
"INTERFACE,OPERATOR,PANEL VIEW PLUS 7","INTERFACE,OPERATOR,PANEL VIEW PLUS 7,PERFORMANCE TERMINAL,COLOR 10.4"" TOUCH SCREEN NEMA ETHERNET COMMUNICATION PORTS 24VDC POWER SUPPLY,512 MBYTES FLASH MEMORY,512 MBYTES RAM ALLEN-BRADLEY #  2711P-T10C22D9P","$5,183.79 ",,2852863000,Allen-Bradley,Rensenhouse,,,E10314,NRAG,"ilIm0B4GKZ4UicrGfmpVK1 , DzTAbMgBus4K6U5yEyauq5 , H4fA4jRPyg42mAe4jca1c0 , vsZcCQ_S674BiRaHhs8yW9 , Lg0nkyL1yW4j6IQdXJEFK0","tM356iO3Ed4NqRzscIN606 , 2IHZGXvC_P4JA3IGrM1Gg7 , Ld14chcW0A4xIvgWUcYILb , LPPeASjQ_q4KEGlsD3Kg3c , abm6NsJwiv4BE2gT23HoP5 , ssg9mtmp8L4c2_gHmPpHZ6","Allen-Bradley INTERFACE,OPERATOR,PANEL VIEW PLUS 7"
"CIRCUIT BREAKER,10AMPS","CKT BKR,10AMPS",,"CIRCUIT BREAKER,10AMPS,1 POLE,277VAC/48VDC MAX (UL/CSA), 415VAC/48VDC MAX (EN/IEC),TRIP CURVE C ALLEN-BRADLEY #1489-M1C100                                  (OLD# 1489-A1C100)",2851735000,Allen-Bradley,Rensenhouse,,,,,mVjcXufwh544e-zbaZ1vBe,PgdhZ89VH54RitI2F-aE11,"Allen-Bradley CIRCUIT BREAKER,10AMPS"
1769-IF8,,,,,Allen-Bradley,Rensenhouse,,,E334470,NRAG,hk6esVx6ED4Q2F_EJOLH50,,Allen-Bradley 1769-IF8
1784-SD2,"MODULE,MEMORY,SECURE DIGITAL,2GB
ALLEN-BRADLEY #1784-SD2",$133.95 ,,2852004000,Allen-Bradley,Rensenhouse,,,,,"sTGv1nPfqZ4_ej7jkloKFe , ZyjxPLCGNK4bMn8vBLXuTc","JP6HXdqXr-4_MwyXen0zx7 , xVAYIQPMcv4I2puSFDBbad",Allen-Bradley 1784-SD2
22-HIM-C2S,"KIT,DIGITAL OPERATOR,REMOTE PANEL MOUNT FOR
POWERFLEX 520 SERIES
ALLEN-BRADLEY #22-HIM-C2S",$433.08 ,,2852576000,Allen-Bradley,Rensenhouse,,,E59272,NMMS,ixrQr72Toe4cqGvpHrSEHc,"dN8SRsEhn-40MiZj4O1XN4 , bWk4I1P3aN4iqJhPL-FGa5",Allen-Bradley 22-HIM-C2S
25B-E019N104,"VARIABLE FREQUENCY DRIVE,POWERFLEX 525
600VAC/19AMP/15HP(11KW)
IP20 NEMA/OPEN ENCLOSURE,D FRAME
ALLEN-BRADLEY # 25B-E019N104","$2,876.36 ",,2854589000,Allen-Bradley,Rensenhouse,,,E59272,NMMS7,1lwET7bB2R48ahOJAzMSx5,"tOzGfI3xtz4mAk-NE7RXA4 , uBPzwk1tyP4veXQVsPLw21",Allen-Bradley 25B-E019N104
800T-XD1,"BLOCK,CONTACT,1 NORMALLY OPEN
ALLEN-BRADLEY #800T-XD1",$22.51 ,,2807500000,Allen-Bradley,Rensenhouse,,,E14840,NKCR,"a3RGqCVk15452z3JzG8Bz6 , V1YSx1SblE4vU6zsFN3Rn3","-dIjsIzjlp4JIQiiKsM234 , 15t_36FDFl4wEc9x6a5ikb",Allen-Bradley 800T-XD1
1492-M7X12H1-50,"MARKER,TERMINAL,HORIZONTAL,NUMBERS 1 TO 50,(108/CARD)
ALLEN-BRADLEY #1492-M7X12H1-50",$21.85 ,,2850936000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"bfJCMtVKBi4T60tewFDfre , aniM342TBx4JqgCbY9t8bd , _VN8MxGDPK4O2DAHhWDmNa , yu17Agybbn4PMzVZplr8f3","VV_szf8BLP4-YpZe-vXdq4 , QC1ZsZXA0-4pQDUteJY-Ne , P_mCOP6M1-4NUtcdI0_qk6 , LBkzeCiNeY4iao2XC0I4sd , IoSWkXZYFf4zQjJr29RGac",Allen-Bradley 1492-M7X12H1-50
800H-AR9,"BUTTON,PUSH,YELLOW,BOOTLESS FLUSH HEAD,
MOMENTARY CONTACT,NEMA 4X
ALLEN-BRADLEY #800H-AR9",$84.35 ,,2807645000,Allen-Bradley,Rensenhouse,,,E14840,NKCR,"A7JbJbFvXP4VMEIGUGEuxf , YJRsxWDkC54VAO1-xrL0vc","rl4h57Z3NT4bETbprzc_m1 , mJSEi9CIpP4VapGaQEVC-e",Allen-Bradley 800H-AR9
"CIRCUIT BREAKER ,4AMPS","CKT BKR,4 AMPS",,"CIRCUIT BREAKER,4AMPS,1 POLE,277VAC/48VDC MAX (UL/CSA), 415VAC/48VDC MAX (EN/IEC),TRIP CURVE C ALLEN-BRADLEY #1489-M1C040                                     (OLD# 1489-A1C040)",2852243000,Allen-Bradley,Rensenhouse,,,,,ZeaZBGDGjE4qa94upqQG-9,y5Q_-8Fds34M2VYilai1ef,"Allen-Bradley CIRCUIT BREAKER ,4AMPS"
800H-FRXT6A5,"BUTTON,PUSH-PULL/TWISTED,MAINTAINED,
RED MUSHROOM HEAD,NEMA 4/4X,2NC
ALLEN-BRADLEY #800H-FRXT6A5",$195.33 ,,2850945000,Allen-Bradley,Rensenhouse,,,E14840,NKCR,"k54FYKwc304I2Micxf4x9c , m74VOkhFSM4P2GEpachPcf , OzHWJIMOjZ4VaY5l6bReqf , 519JcKWqZD4vuz4RTlIzH4 , QKGiea9pkV4ha8KXiNB0a2","XC8L1DJKeX46mpp0nyNGS8 , XbrjxwS2gP4ge6iCYKgB32 , 6t3UORL27F4V2vxWqNvhRa , luAj1lcHxp4jqYLCUxPfH1 , rZup6K2rGB4AaqmpO77su9 , 5YSNpVkz6f4VUqQffFjRp4",Allen-Bradley 800H-FRXT6A5
22-8AWG ALLEN-BRADLEY,"BLOCK,TERMINAL,600V",,"BLOCK,TERMINAL,600V,#22-8AWG,COMPRESSION CLAMP,
GREEN/YELLOW STANDARD GROUNDING BLOCK,
ALLEN-BRADLEY #1492-JG10",2854069000,Allen-Bradley,Rensenhouse,,,,,N2AGVSljb94uqRgo8SxYcd,Snb6pUvNck4jmrjLybDCc4,Allen-Bradley 22-8AWG ALLEN-BRADLEY
"COMPRESSION CLAMP, BLUE BODY","BLOCK,TERMINAL,600V,#22-10AWG,COMPRESSION CLAMP, BLUE BODY, ALLEN-BRADLEY #1492-J6-B",$2.28 ,,2807779000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"Zn63d--KVJ4liOHvouslqe , S3XA7f5j6V4Zm-luZl5uD4 , qiRErNkNOl4kEnemkZA7q2 , jMp9PweUXj4eMiXJZb0M9d , XnspBbLdck4kIeYyb-Vr88 , GODhmNmBDq4rE9U_QFF9F7 , WiZL2IlF064GQHfCHj6aV0 , QTeI-a5vdZ44q8k7StOF0f , CHbk5dnk5g4kuPizcMbRh8 , 1TfyLa3pNu4AMNJHvvq6B9 , P3EfoHu3ZP4SuiUe3mUfr1","wALbJ_t-2s4mqTUKK2Zcp0 , C1YEDWlqnQ43UX1-Rrn-c3 , zPvrj5C2rk4hu1qjarhg41 , jLDdHoz-iF4XYOFSBgWSjc , Q2fqXjXLzn4n2PIrG722m8 , y3Ai4kds3y4JQAhiehN132 , Ry10lBdmHC46ITDDe3s109 , LfzivB0Dwm4VuLs24NU0ta , o4A62Plaau46MGUMp9Xlk8 , Vc5_SuVXZu4hAjneHjOVz8 , uuaftHi9HR4DaN5IR1WXo9 , vi2LggRC9P4_y9YQstt2B7","Allen-Bradley COMPRESSION CLAMP, BLUE BODY"
1492-WFB4250,"BLOCK,FUSE,15AMPS,85-264VAC,1 POLE,
LED BLOWN FUSE INDICATOR
ALLEN-BRADLEY #1492-WFB4250

NOTE TO MECO: CLEAR LIGHT AT TOP OF BLOCK
              DESIGNATES WFB4250",$27.85 ,,2809537001,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"fQyZK9QPXK45AWUZ7k4cIe , b8b0Sxn0FM4smgM23WeVL5 , 5wQS8Wyp3j4bqZYHtV4FD5","oxFJ-MOhk44juaPmCfprC5 , ElpZ0PpDgy4N2k9F6rF2N3",Allen-Bradley 1492-WFB4250
5069-IB16,"MODULE,INPUT,DISCRETE,24V-DC,16 CHANNELS
ALLEN-BRADLEY #5069-IB16",$296.35 ,,2853163000,Allen-Bradley,Rensenhouse,,,E322657,NRAQ,"tprsf_TSlF4vuoMBq5CCW3 , 3kgW0P6M5G4MmbJxixXLh3 , ZiI3ELWeNo4zEe7UW7Gme2 , NiWeiIpTPz4X6cH0IKPAF5 , emHdO0A3L14DA2OOiwRON9","5pirXCNPBz41IIueiL8I4f , LOzwdB2iYT4tiTxwnF5P38 , hBic1Dr-um48YZHr_Pkkf7 , s9FXv7dqeO4gixsiu7Sjna , N7gYgjwK0h4fAxWD-XRGa1 , _OLBPHJm4m4ZMOOLZwaHg2",Allen-Bradley 5069-IB16
5069-IF8,"MODULE,ANALOG,8 INPUT VOLTAGE/CURRENT
ALLEN-BRADLEY #5069-IF8",$976.96 ,,2853165000,Allen-Bradley,Rensenhouse,,,E322657,NRAQ,"bpG_NU430l4zqqsHLFODs5 , _VwC31sbGf4zu73ntTxzx4 , FkMLdJnr8949Q3Js4R35X7 , b_LELZz3nV4liec3iE9oT1 , gMcPfKHrr-47mR7FPYPfM8","CLWGPLVm4u4sMwF3nBzEC4 , Gd99XAzvqN4-q2o0dRmNZ0 , gnqGhg420t4RebHq6tBBj3 , UIr_s2jQ2v4ua1gqhhh644 , pgRL4yZbLo4jqI2GTHEio9 , wxS9g_8OC743yPWug6BSo5",Allen-Bradley 5069-IF8
5069-FPD,"MODULE,FIELD POTENTIAL DISTRIBUTOR
ALLEN-BRADLEY #5069-FPD",$176.92 ,,2853171000,Allen-Bradley,Rensenhouse,,,E65584,NRAQ,"wxaSJQpM804ji7qWt9MVR4 , L6bUMWZSc44VuF5ZBaOaO3 , 54lBPdiOyY4diIxqPLl1X8 , R-of07fVHX4nUMkWf7rhOe , D0cLqJ2UkJ4KmItiMExeT7","hhSzz3gbsh4jUNAO54Ypn9 , UJySpLUm7R4Jy6_s2dcsMa , 5tZbrYyzrk4eavIVk-95y7 , wuefzUj4OG4CQ9lmwSOKBa , 0CwsBVcNQN4rqCceQsSNjf , hxRD8FYqd-4rEPjxG5POW9",Allen-Bradley 5069-FPD
5069-L310ER,"MODULE PRCESSR,1.0 MBYTES",,"MODULE,PROCESSOR,1.0 MBYTES,ALLEN-BRADLEY COMPACT LOGIX
5380 SERIES CONTROLLER,(2)ETHERNET/DUAL-IP PORTS & (1)USB
PORT,1.0 GB SD CARD,UPTO 8 I/O EXPANSION
ALLEN-BRADLEY #5069-L310ER",2853161000,Allen-Bradley,Rensenhouse,,,,,C65tXR8AaA4p67kYhKgWQ3,Z722Vn2OpL4iUYJdPMdJqa,Allen-Bradley 5069-L310ER
1492-MS6X12H1-50,"TERMINAL MARKER,HORIZONTAL,NUMBERS 1 TO 50 FOR TERMINAL BLOCK
ALLEN-BRADLEY #1492-MS6X12H1-50",$14.15 ,,2807511007,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"lbF541tRDp4VMOfErfzA-6 , K7lgiVpUrW49ivpew3LTca , 9Jt1_uRpTl4XApGqmND0X4 , waXVitisoC4EE5qu3YeFX0 , ojpiN60hCJ4nmMpzLCCZm1 , 7TLGMoPUMY4CmrWBQleAAf , tAVlKL1Wny4KmHfU2wIyx3","naNrUZKobi4oQJ4ZHIJvA8 , 9alDi82sZH48u8TtjvZ-p7 , 0ZryuWZePI4WQ7D25G31z0 , wNS1bkv7XC4HYitAJXoaM4 , nDLNDiSEGQ4xUZgh2xcKaa , _S3Uq-O0ay4KEMj6eIjJyd , 0FFh8O3jn_4qi-LKkoYuRe",Allen-Bradley 1492-MS6X12H1-50
"JUMPER,CENTER,10 POLE,FOR ALLEN-BRADLEY TERMINAL BLOCK","JUMPER,CENTER,10 POLE,FOR ALLEN-BRADLEY TERMINAL BLOCK #1492-J6 ALLEN-BRADLEY #1492-CJJ8-10",$8.93 ,,2850937000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"4KUc54ba4n4Ry-g7nXizoc , 6Yzm-990Mv4_ygWqKIFn97 , _MA7kqlKZG4TQsvD3swIp3 , rL9tHmy5LD4oa9unxJXKEa , mlnpd52AHD4FaGZDTxOB99 , c3BKlL8MAc4y6s4dEw4V_0 , rU56U2htyl4JqddHeDh9i4 , BdYbODRf2L4UQ-ObPZAg21 , UeGXJCv1aH4gicg6G4-Bb0 , ur5KY9Q3iK4sQ3Tp9Dz4ta , abm-Xqgwqv4VqN4K4yKoqd","5niSmz1Hpr4ZqVBKhH9U61 , Q--v2cnote4RqcWdBdkpI1 , ciyPKrtVZi4GIze6D-4UOa , Q6czXQKYNM4RQSuUu5Gv9e , mk0WQVwjTN4P2QJIDiHSyc , Psle67sFXl406JScqUMAd9 , lcfgVpP06d4yiJnLtwbCB7 , 7Vmn-QFCgL4J2ubGYdsDdc , dIqNxCe00-49yC-zbRCIAd , CVVnMcy5di4k6-2f7_3LAd , f66g8ylZIN4U20FxWcnfy1 , YvajkJqXXR4UaM-IwR9E2b","Allen-Bradley JUMPER,CENTER,10 POLE,FOR ALLEN-BRADLEY TERMINAL BLOCK"
1492-EBJ3,"SECTION,END BARRIER,TERMINAL BLOCK
ALLEN-BRADLEY #1492-EBJ3",$0.98 ,,2807770000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"ysMrnJV0wx4X6Yx-N2Ig51 , Mk1JkWkZ984pY4nsRUQP44 , 2zdNV_AFwD41Irn6oIXD_3 , P0cAyfVIZL47mGXrtqBSA4 , jbfPVIoBpF45IyR368dNC9 , 3Drp6btqes4OUwvudD6Aqe , HSEtovAOrG4feUBFZCfPt4 , N2b-Vtux1T4NUjKzTp-oX7 , IWhWqfeJKA4PEeQ7QhpG-4 , 7UGpMmTChm4kq0SM99z-_8 , 3mCimha69Y4GE1O17VoJj1","ILrG8GzAqv4qUurzENly38 , dmf45GefWM4JypSXYbTME5 , ysyTThRLfI4taJggIkN9C2 , mSGMc7bT1W47aoaM9Tca2f , Yv6ZoeMeSw4byOP1WsqP0b , g6Zp3kOnA_4-aq1x-nu_y8 , Pmgc7QZ4Ik4_QzOuKsNaNe , CtIIdTjjiP4M2WDZmXNjha , 1I7zU1LxP44vYkD3nhmut7 , cDNxs-U0M24je9-ILeo424 , HrNhJUp7_E49EJAV_5J-Y6 , ZsRBBqp86b4RmGyQ_2v7_7",Allen-Bradley 1492-EBJ3
